setNumber,name,year,numParts,imageUrl,inventoryId
4574-1,Rip,2001,8,https://cdn.rebrickable.com/media/sets/4574-1.jpg,2896
4575-1,Pulse,2001,8,https://cdn.rebrickable.com/media/sets/4575-1.jpg,7060
4576-1,Duster,2001,8,https://cdn.rebrickable.com/media/sets/4576-1.jpg,390
4577-1,Snake,2001,8,https://cdn.rebrickable.com/media/sets/4577-1.jpg,14352
4578-1,Ghost,2001,8,https://cdn.rebrickable.com/media/sets/4578-1.jpg,5190
4579-1,Ice Ramp Racers,2001,112,https://cdn.rebrickable.com/media/sets/4579-1.jpg,11029
45800-1,FLL WORLD Class: Learning Unleashed Challenge Kit,2014,2098,https://cdn.rebrickable.com/media/sets/45800-1.jpg,11244
45801-1,TRASH TREK Challenge Kit,2015,1990,https://cdn.rebrickable.com/media/sets/45801-1.jpg,15376
45802-1,ANIMAL ALLIES Challenge Kit,2016,2167,https://cdn.rebrickable.com/media/sets/45802-1.jpg,13508
4580305-1,Battles - DS,2009,0,https://cdn.rebrickable.com/media/sets/4580305-1.jpg,92848
45803-1,Creature Craze Inspire Set,2016,81,https://cdn.rebrickable.com/media/sets/45803-1.jpg,43695
45804-1,HYDRO DYNAMICS Challenge Kit,2017,2052,https://cdn.rebrickable.com/media/sets/45804-1.jpg,28298
45805-1,AQUA ADVENTURE Inspire Set,2017,710,https://cdn.rebrickable.com/media/sets/45805-1.jpg,34851
45806-1,INTO ORBIT Challenge Kit,2018,1910,https://cdn.rebrickable.com/media/sets/45806-1.jpg,36517
45807-1,Mission MOON Inspire Set,2018,693,https://cdn.rebrickable.com/media/sets/45807-1.jpg,24647
45808-1,Mission MOON Discovery Set,2018,50,https://cdn.rebrickable.com/media/sets/45808-1.jpg,43692
45809-1,CITY SHAPER Challenge Kit,2019,2158,https://cdn.rebrickable.com/media/sets/45809-1.jpg,40829
458-1,"1 x 2 x 1 Window, Red or White",1966,19,https://cdn.rebrickable.com/media/sets/458-1.jpg,84755
45810-1,BOOMTOWN BUILD Inspire Set,2019,738,https://cdn.rebrickable.com/media/sets/45810-1.jpg,35002
45811-1,World Robotic Olympiad Brick Set,2016,724,https://cdn.rebrickable.com/media/sets/45811-1.jpg,35202
45812-1,BOOMTOWN BUILD Discovery Set,2019,78,https://cdn.rebrickable.com/media/sets/45812-1.jpg,43159
45813-1,RePLAY Challenge Kit,2020,1600,https://cdn.rebrickable.com/media/sets/45813-1.jpg,75284
45814-1,PLAYMAKERS Explore Set,2020,779,https://cdn.rebrickable.com/media/sets/45814-1.jpg,75664
45815-1,PLAYMAKERS Discover Set,2020,76,https://cdn.rebrickable.com/media/sets/45815-1.jpg,61982
45816-1,CARGO CONNECT Challenge Kit,2021,1918,https://cdn.rebrickable.com/media/sets/45816-1.jpg,109242
45817-1,CARGO CONNECT Explore Set,2021,885,https://cdn.rebrickable.com/media/sets/45817-1.jpg,109239
45818-1,CARGO CONNECT Discover Set,2021,77,https://cdn.rebrickable.com/media/sets/45818-1.jpg,109241
45819-1,World Robot Olympiad Expansion Set,2023,568,https://cdn.rebrickable.com/media/sets/45819-1.jpg,213733
45820-1,SUPERPOWERED Challenge Kit,2022,2179,https://cdn.rebrickable.com/media/sets/45820-1.jpg,144130
4582-1,Red Bullet,2002,29,https://cdn.rebrickable.com/media/sets/4582-1.jpg,4027
45821-1,SUPERPOWERED Explore Set,2022,998,https://cdn.rebrickable.com/media/sets/45821-1.jpg,144076
45822-1,SUPERPOWERED Discover Set,2022,80,https://cdn.rebrickable.com/media/sets/45822-1.jpg,144046
45823-1,MASTERPIECE Challenge Kit,2023,1756,https://cdn.rebrickable.com/media/sets/45823-1.jpg,185385
45824-1,MASTERPIECE Explore Set,2023,806,https://cdn.rebrickable.com/media/sets/45824-1.jpg,185382
45825-1,MASTERPIECE Discover Set,2023,60,https://cdn.rebrickable.com/media/sets/45825-1.jpg,185384
45826-1,SUBMERGED Challenge Set,2024,1916,https://cdn.rebrickable.com/media/sets/45826-1.jpg,230435
45827-1,SUBMERGED Explore Set,2024,667,https://cdn.rebrickable.com/media/sets/45827-1.jpg,230436
45828-1,SUBMERGED Discover Set,2024,55,https://cdn.rebrickable.com/media/sets/45828-1.jpg,230437
45829-1,UNEARTHED Challenge Set,2025,1742,https://cdn.rebrickable.com/media/sets/45829-1.jpg,284870
45830-1,UNEARTHED Explore Set,2025,708,https://cdn.rebrickable.com/media/sets/45830-1.jpg,284871
4583-1,Maverick Storm,2002,31,https://cdn.rebrickable.com/media/sets/4583-1.jpg,12899
45831-1,UNEARTHED Discover Set,2025,32,https://cdn.rebrickable.com/media/sets/45831-1.jpg,284872
45834-1,BIOGLOW Future Edition Set,2026,0,https://cdn.rebrickable.com/media/sets/45834-1.jpg,337644
4584-1,Hot Scorcher,2002,58,https://cdn.rebrickable.com/media/sets/4584-1.jpg,4339
4585-1,Nitro Pulverizer,2002,61,https://cdn.rebrickable.com/media/sets/4585-1.jpg,6032
4586-1,Stunt Race Track,2002,168,https://cdn.rebrickable.com/media/sets/4586-1.jpg,2803
4586940-1,Basic Set Limited Edition,2010,480,https://cdn.rebrickable.com/media/sets/4586940-1.jpg,697
4587-1,Duel Racers,2002,191,https://cdn.rebrickable.com/media/sets/4587-1.jpg,7314
4588-1,Off Road Race Track,2002,363,https://cdn.rebrickable.com/media/sets/4588-1.jpg,7106
4589-1,RC-Nitro Flash,2002,139,https://cdn.rebrickable.com/media/sets/4589-1.jpg,3756
4589754824101-1,LEGOLAND Japan Factory Promotional Brick Container,2024,0,https://cdn.rebrickable.com/media/sets/4589754824101-1.jpg,339375
4590-1,Flash Turbo,2002,28,https://cdn.rebrickable.com/media/sets/4590-1.jpg,10162
4590556-1,Series 2 - Sealed Box,2010,0,https://cdn.rebrickable.com/media/sets/4590556-1.jpg,7929
459-1,"1 x 1 x 1 Windows Refill, Red or White",1966,20,https://cdn.rebrickable.com/media/sets/459-1.jpg,84756
4591-1,Star Burst,2002,28,https://cdn.rebrickable.com/media/sets/4591-1.jpg,14134
4591715-1,Golden Die [TRU Exclusive],2010,7,https://cdn.rebrickable.com/media/sets/4591715-1.jpg,503
4592-1,Red Monster,2002,25,https://cdn.rebrickable.com/media/sets/4592-1.jpg,6834
4593-1,Zero Hurricane & Red Blizzard,2002,74,https://cdn.rebrickable.com/media/sets/4593-1.jpg,12200
4594-1,Maverick Sprinter & Hot Arrow,2002,66,https://cdn.rebrickable.com/media/sets/4594-1.jpg,3481
4595-1,Zero Tornado & Hot Rock,2002,71,https://cdn.rebrickable.com/media/sets/4595-1.jpg,6918
4595400-1,Rocket Kit,2010,26,https://cdn.rebrickable.com/media/sets/4595400-1.jpg,2641
4596-1,Storming Cobra,2002,90,https://cdn.rebrickable.com/media/sets/4596-1.jpg,4612
4597-1,Captain America,2012,44,https://cdn.rebrickable.com/media/sets/4597-1.jpg,11306
4599605-1,Easter Chicks,2010,15,https://cdn.rebrickable.com/media/sets/4599605-1.jpg,8640
4600-1,Police Cruiser,2001,23,https://cdn.rebrickable.com/media/sets/4600-1.jpg,3001
460-1,Rescue Units,1973,37,https://cdn.rebrickable.com/media/sets/460-1.jpg,12826
4601-1,Fire Cruiser,2001,22,https://cdn.rebrickable.com/media/sets/4601-1.jpg,9104
460-2,"1 x 2 x 3 Doors Refill, Red or White",1966,13,https://cdn.rebrickable.com/media/sets/460-2.jpg,84757
460-2R,"1 x 2 x 3 Doors Refill, Red",1966,50,https://cdn.rebrickable.com/media/sets/460-2r.jpg,24383
460-2W,"1 x 2 x 3 Doors Refill, White",1966,50,https://cdn.rebrickable.com/media/sets/460-2w.jpg,24382
4603-1,Res-Q Wrecker,2001,29,https://cdn.rebrickable.com/media/sets/4603-1.jpg,11840
4604-1,Police Copter,2001,19,https://cdn.rebrickable.com/media/sets/4604-1.jpg,5522
4605-1,Fire Response SUV,2001,32,https://cdn.rebrickable.com/media/sets/4605-1.jpg,14380
4606-1,Aqua Res-Q Transport,2001,40,https://cdn.rebrickable.com/media/sets/4606-1.jpg,3209
4607-1,Copter Transport,2001,65,https://cdn.rebrickable.com/media/sets/4607-1.jpg,16064
4608-1,Bank Breakout,2001,68,https://cdn.rebrickable.com/media/sets/4608-1.jpg,2754
4609-1,Fire Attack Team,2001,97,https://cdn.rebrickable.com/media/sets/4609-1.jpg,9234
4610-1,Aqua Res-Q Super Station,2001,95,https://cdn.rebrickable.com/media/sets/4610-1.jpg,545
461-1,"Windows and Doors, Retailer Pack",1966,0,https://cdn.rebrickable.com/media/sets/461-1.jpg,24377
4611-1,Police HQ,2001,141,https://cdn.rebrickable.com/media/sets/4611-1.jpg,5562
4612-1,Super Glider,2002,7,https://cdn.rebrickable.com/media/sets/4612-1.jpg,8883
4613-1,Turbo Chopper,2002,13,https://cdn.rebrickable.com/media/sets/4613-1.jpg,4885
4613985-1,Build a Bullseye Target Gift Card Promotional,2010,32,https://cdn.rebrickable.com/media/sets/4613985-1.jpg,668
4614-1,Ultralight Flyer,2002,16,https://cdn.rebrickable.com/media/sets/4614-1.jpg,15204
4614586-1,Series 4 - Sealed Box,2011,0,https://cdn.rebrickable.com/media/sets/4614586-1.jpg,4133
4614607-1,Series 5 - Sealed Box,2011,0,https://cdn.rebrickable.com/media/sets/4614607-1.jpg,14997
4615-1,Red Recon Flyer,2002,21,https://cdn.rebrickable.com/media/sets/4615-1.jpg,3972
4616-1,Rapid Response Tanker,2002,35,https://cdn.rebrickable.com/media/sets/4616-1.jpg,6238
