partNumber,name,category,sourceCategory,material
40385pr0001,"Animal Body Part, Dinosaur, Sail Fin with Orange, Maroon, Light Blue, and White Scale Print",special,Animal / Creature Body Parts,Plastic
40386,"Animal Body Part, Dinosaur / Whale Flipper with Pin",special,Animal / Creature Body Parts,Plastic
40387,"Animal Body Part, Dinosaur, Mosasaurus Head, Toothed with Pin",special,Animal / Creature Body Parts,Plastic
40387pr0001,"Animal Body Part, Dinosaur, Mosasaurus Head, Toothed with Pin, Dark Gray, Red, and Dark Blue Print",special,Animal / Creature Body Parts,Plastic
40388,"Animal Body Part, Dinosaur, Head Toothed, Jaw Bottom",special,Animal / Creature Body Parts,Plastic
40389pr0001,"Animal Body Part, Dinosaur, Styracosaurus Head, Crested Neck and Nose Horn, with Pin",special,Animal / Creature Body Parts,Plastic
40390,"Animal Body Part, Dinosaur, Tyrannosaurus Rex / Spinosaurus Lower Jaw, with Pin",special,Animal / Creature Body Parts,Plastic
40393,"Animal / Creature Body Part, Dinosaur / Dragon, Foot",special,Animal / Creature Body Parts,Plastic
40395,"Animal / Creature Body Part, Tail / Neck, Base Section with Black Pin",special,Animal / Creature Body Parts,Plastic
40396,"Animal / Creature Body Part, Neck / Tail, S Curve with Pin",special,Animal / Creature Body Parts,Plastic
4039pr0001,"Headwear Accessory Cat Ears with Pin, Coral Ears, Black Spot print",minifigures,Minifig Headwear Accessories,Plastic
4039pr0002,"Headwear Accessory Cat Ears with Dark Pink Ears, Dark Turquoise Spot print",minifigures,Minifig Headwear Accessories,Plastic
4040pr0001,"Minidoll Head Special, Kitten/Cat with Scales, Dark Turquoise Ears, Dark Pink Nose print",minifigures,Minidoll Heads,Plastic
4041,Panel 4 x 4 x 3 Quarter Cylinder,bricks,Panels,Plastic
4041pr0001,Panel 4 x 4 x 3 Quarter Cylinder with Blue Dunk Shoe Left Heel Tab print,bricks,Panels,Plastic
4041pr0002,Panel 4 x 4 x 3 Quarter Cylinder with Blue Dunk Shoe Right Heel Tab print,bricks,Panels,Plastic
4042,Bar Curved with Axle End and 1 x 1 Round Plate,special,"Bars, Ladders and Fences",Plastic
4045,Brick Curved 1 x 4 x 1 Rounded Ends,bricks,Bricks Curved,Plastic
4045pr0001,Brick Curved 1 x 4 x 1 Rounded Ends with Black Closed Eyes print,bricks,Bricks Curved,Plastic
4045pr0002,Brick Curved 1 x 4 x 1 Rounded Ends with White 'AIR' print,bricks,Bricks Curved,Plastic
4045pr0003,Brick Curved 1 x 4 x 1 Rounded Ends with Yellow Ovals / Headlights print,bricks,Bricks Curved,Plastic
40465,Sticker Sheet for Set 4566-1,special,Stickers,Plastic
40466,Sticker Sheet for Set 4567-1,special,Stickers,Plastic
40467,Sticker Sheet for Set 4568-1,special,Stickers,Plastic
40468,Sticker Sheet for Set 4569-1,special,Stickers,Plastic
40469,Sticker Sheet for Set 4570-1,special,Stickers,Plastic
40470,Sticker Sheet for Set 4571-1,special,Stickers,Plastic
40471,Sticker Sheet for Set 4572-1,special,Stickers,Plastic
40472,Sticker Sheet for Set 4573-1,special,Stickers,Plastic
40474,"Scala, Overalls with Light Blue Bottom Cuffs",special,"Belville, Scala and Fabuland",Cloth
40475,"Scala, Sweater with White Sleeves",special,"Belville, Scala and Fabuland",Cloth
40476,"Scala, Jacket with Hood with Orange Interior",special,"Belville, Scala and Fabuland",Cloth
4048,"Insect Accessory, Spider Web, Dome Shaped with Bars, Holes",special,Animal / Creature Accessories,Plastic
40490,Technic Beam 1 x 9 Thick,technic,Technic Beams,Plastic
4050,"Hair, 2 Double Circular Buns",minifigures,Minifig Headwear,Plastic
40507,"Large Figure Weapon, Disk Throwing Arm (Tohunga)",special,Large Buildable Figures,Plastic
