partNumber,name,category,sourceCategory,material
cardupn0001pr0110,"Trading Card, Harry Potter, Sticker - Professor Gilderoy Lockhart (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0111,"Trading Card, Harry Potter, Sticker - Madame Hooch (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0112,"Trading Card, Harry Potter, Sticker - Draco Malfoy",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0113,"Trading Card, Harry Potter, Sticker - George Weasley / Fred Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0114,"Trading Card, Harry Potter, Sticker - Slythering Quidditch Player",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0115,"Trading Card, Harry Potter, Sticker - Lucian Bole (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0116,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0117,"Trading Card, Harry Potter, Sticker - Gryffindor Quidditch Player",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0118,"Trading Card, Harry Potter, Sticker - Draco Malfoy and Harry Potter (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0119,"Trading Card, Harry Potter, Sticker - Slytherin Quidditch Player (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0120,"Trading Card, Harry Potter, Sticker - Draco Malfoy (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0121,"Trading Card, Harry Potter, Sticker - Harry Potter (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0122,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0123,"Trading Card, Harry Potter, Sticker - Harry Potter and Draco Malfoy",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0124,"Trading Card, Harry Potter, Sticker - Slytherin Quidditch Player (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0125,"Trading Card, Harry Potter, Sticker - Professor Severus Snape, Draco Malfoy, Cho Chang, Susan Bones, Gregory Goyle and Pansy Parkinson",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0126,"Trading Card, Harry Potter, Sticker - Hermione Granger, Dean Thomas, Ron Weasley, Harry Potter and Ginny Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0127,"Trading Card, Harry Potter, Sticker - Mandrake and Neville Longbottom (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0128,"Trading Card, Harry Potter, Sticker - Neville Longbottom and Mandrake",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0129,"Trading Card, Harry Potter, Sticker - Hermione Granger, Mandrake, Ron Weasley and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0130,"Trading Card, Harry Potter, Sticker - Gregory Goyle and Vincent Crabbe",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0131,"Trading Card, Harry Potter, Sticker - Hermione Granger",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0132,"Trading Card, Harry Potter, Sticker - Spiders and Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0133,"Trading Card, Harry Potter, Sticker - Arthur Weasley's Flying Car and Spider",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0134,"Trading Card, Harry Potter, Sticker - Fang (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0135,"Trading Card, Harry Potter, Sticker - Ron Weasley and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0136,"Trading Card, Harry Potter, Sticker - Hermione Granger (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0137,"Trading Card, Harry Potter, Sticker - Ginny Weasley (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0138,"Trading Card, Harry Potter, Sticker - Ginny Weasley, Tom Riddle and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0139,"Trading Card, Harry Potter, Sticker - Basilisk, Colin Creevey and Hogwarts Students",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0140,"Trading Card, Harry Potter, Sticker - Tom Riddle's Diary and Ginny Weasley (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0141,"Trading Card, Harry Potter, Sticker - Harry Potter and The Sorting Hat",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0142,"Trading Card, Harry Potter, Sticker - Basilisk and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0143,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0144,"Trading Card, Harry Potter, Sticker - Tom Riddle",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0145,"Trading Card, Harry Potter, Sticker - Ginny Weasley and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0146,"Trading Card, Harry Potter, Sticker - Tom Riddle and Tom Riddle's Diary (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0147,"Trading Card, Harry Potter, Sticker - Basilisk, Tom Riddle and Tom Riddle's Diary",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0148,"Trading Card, Harry Potter, Sticker - Nearly Headless Nick",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0149,"Trading Card, Harry Potter, Sticker - Myrtle Elizabeth Warren / Moaning Myrtle",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0150,"Trading Card, Harry Potter, Sticker - The Fat Lady (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0151,"Trading Card, Harry Potter, Sticker - The Grey Lady",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0152,"Trading Card, Harry Potter, Sticker - Ghost",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0153,"Trading Card, Harry Potter, Sticker - Godric Gryffindor (Foil)",technic,Gear Parts,Cardboard/Paper
